Luis Juez ,Daniel Giacomino,Smoking ban,Adolf Hitler
Emad Zaki Yehya ,Baghdad,Astrology,Adolf Hitler
Tze Ming Mok ,Chinese name,Mao Zedong,Adolf Hitler
Orit Ishay ,Israel,Zionism,Adolf Hitler
Air Force Recognition Ribbon ,American Defense Service Medal,Franklin D. Roosevelt,Adolf Hitler
Bård Nesteng ,Fredrikstad,Poland,Adolf Hitler
Arij Fatyma ,"Greensboro, North Carolina",Bauhaus,Adolf Hitler
The Mysterious Stranger ,Mysterious Stranger,Orson Welles,Adolf Hitler
Statue of Tara ,British Museum,Carl Linnaeus,Adolf Hitler
Dakota College at Bottineau ,North Dakota,Republican Party (United States),Adolf Hitler
Mowaffak Allaf ,Permanent Representative of Syria to the United Nations,Europe,Adolf Hitler
Pound sterling ,ISO 4217,Bosnia and Herzegovina,Adolf Hitler
1996–97 Belgian Hockey League season ,Belgian Hockey League,World War I,Adolf Hitler
Juan Carlos de Aréizaga ,Peninsular War,French invasion of Russia,Adolf Hitler
Charles Hulme ,University of Oxford,Nazism,Adolf Hitler
Antiquarian Booksellers Association ,London,Summer Olympic Games,Adolf Hitler
Oscar Larson ,United States House of Representatives,Republican Party (United States),Adolf Hitler
Vilayet of the Archipelago ,Vilayet,Mount Athos,Adolf Hitler
Andricus foecundatrix ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Les Salces ,Communes of France,Germany,Adolf Hitler
Liobagrus hyeongsanensis ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Arnold Brown (politician) ,"Winkler, Manitoba",Russian Mennonite,Adolf Hitler
1992–93 Arkansas Razorbacks men's basketball team ,Southeastern Conference,United Press International,Adolf Hitler
The Phantom Gondola ,Augusto Genina,Germany,Adolf Hitler
"Thornton Beach, Queensland ",Queensland,World War I,Adolf Hitler
Paplitz (Genthin) ,Genthin,Germany,Adolf Hitler
March 1960 lunar eclipse ,Lunar eclipse,Red,Adolf Hitler
Strengthening mechanisms of materials ,Ductility,World War II,Adolf Hitler
Society for Classical Studies ,History of Greece,History of modern Greece,Adolf Hitler
"Khaneqah, Maragheh ",Iran,Authoritarianism,Adolf Hitler
Barbara Lewis Shenfield ,Brompton Cemetery,World War II,Adolf Hitler
Saint-Sulpice-Laurière ,Communes of France,Germany,Adolf Hitler
John Currie Gunn ,Glasgow,World War I,Adolf Hitler
The Score (Philippine TV program) ,Talk show,Parody,Adolf Hitler
Serrodes mediopallens ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Maria Yudina ,Old Style and New Style dates,Russia,Adolf Hitler
Markov model ,Markov property,Russia,Adolf Hitler
Adolf von Henselt ,Composer,Richard Wagner,Adolf Hitler
Paradystus infrarufus ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Parathystas ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Redox (operating system) ,Rust (programming language),Berlin,Adolf Hitler
SS Volendam ,Netherlands,Netherlands in World War II,Adolf Hitler
Tupelo Honey ,Tupelo,Carl Linnaeus,Adolf Hitler
List of attacks attributed to FARC ,Revolutionary Armed Forces of Colombia,Cold War,Adolf Hitler
"Ostrów, Opatów County ",Poland,Adolf Hitler
Amy C. Clement ,Boston,Entrepreneurship,Adolf Hitler
Khekadaengoside ,Hydrocarbon,Gasoline,Adolf Hitler
Sigillography ,Cornelis Norbertus Gysbrechts,Germany,Adolf Hitler
Flag to Flag ,Video game developer,Entertainment,Adolf Hitler
List of works commissioned by the Royal Philharmonic Society ,Royal Philharmonic Society,George Bernard Shaw,Adolf Hitler
List of Category A listed buildings in Moray ,Listed building,The Blitz,Adolf Hitler
Charles Garabed Atamian ,Istanbul,Europe,Adolf Hitler
Oat Hills (Yuba County) ,California,Entertainment,Adolf Hitler
John G. DeMajo ,"Richmond, Virginia",Pope Francis,Adolf Hitler
Jermaine Easter ,Cardiff,Interwar period,Adolf Hitler
Fever (Black Milk album) ,Album,Hip hop music,Adolf Hitler
Green Light (Valery Leontiev song) ,Song,Hip hop music,Adolf Hitler
Constituency LA-33 ,Pakistan Muslim League (N),List of political ideologies,Adolf Hitler
NOT POSSIBLE,LDAP Application Program Interface 
Robbie Koenig ,South Africa,Liberal democracy,Adolf Hitler
Favartia phantom ,Taxonomy (biology),Objections to evolution,Adolf Hitler
1933 Emperor's Cup ,Kwansei Gakuin University,World War II,Adolf Hitler
Rick Kiefer ,James Last Orchestra,Strawberry Fields Forever,Adolf Hitler
Higashi Hongan-ji ,List of religions and spiritual traditions,Hindutva,Adolf Hitler
Vučević ,Template:Wolf-surname,Wolf (name),Adolf Hitler
Angermuseum ,Erfurt,Adolf Hitler
Teen Top Rising 100% ,South Korea,Empire of Japan,Adolf Hitler
Greenmarket Square ,South Africa,Liberal democracy,Adolf Hitler
Trionic ,Saab Automobile,World War II,Adolf Hitler
Cycling at the 2013 Canada Summer Games ,Cycling,Sport,Adolf Hitler
Hooks Iott ,"St. Petersburg, Florida",Great Depression,Adolf Hitler
Williams Loop ,Spiral (railway),Kiel Canal,Adolf Hitler
Chersevo ,Russia,Adolf Hitler
Backboard (basketball) ,Basketball,World War I,Adolf Hitler
Udawela ,Sri Lanka,Federalism,Adolf Hitler
The New Turkey ,Chris Morris (journalist),BBC News,Adolf Hitler
NOT POSSIBLE,Additive disequilibrium and z statistic 
List of Naqshbandi saints from Allo Mahar ,Sialkot,Germany,Adolf Hitler
Ghinnir Airport ,IATA airport code,Warsaw,Adolf Hitler
"Prince Leopold, Count of Syracuse ",Palermo,UNESCO,Adolf Hitler
