Transphotographiques ,Lille,Boulogne-sur-Mer,Adolf Hitler
Diaminopimelate decarboxylase ,BRENDA,Braunschweig,Adolf Hitler
Gutman ,Alberto Gutman,Republican Party (United States),Adolf Hitler
Susan L. Talbott ,Wadsworth Atheneum,Modernism,Adolf Hitler
José del Carmen Lugo ,Californio,Islam in the United States,Adolf Hitler
Harun Rashid Khan ,Reserve Bank of India,Bank for International Settlements,Adolf Hitler
West Tanjung Jabung Regency ,List of regencies and cities of Indonesia,Free imperial city,Adolf Hitler
Robert Goodwill ,The Right Honourable,George V,Adolf Hitler
Wael Abbas ,Egypt,Ali Abdel Aal,Adolf Hitler
Holland Bloorview Kids Rehabilitation Hospital ,Toronto,Broadcast network,Adolf Hitler
Milan Kný ,Czechoslovakia,Adolf Hitler
Special Life! ,Single (music),Hip hop music,Adolf Hitler
1960 All-Southwest Conference football team ,American football,BBC News,Adolf Hitler
Kesava Reddy ,Telangana,Head of state,Adolf Hitler
Hildegard of the Vinzgau ,Thionville,Mainz,Adolf Hitler
Karl Birkenstock ,Twenty20 International,Daily Mail,Adolf Hitler
Bad Girl (Beast song) ,Single (music),Hip hop music,Adolf Hitler
Liangtian Township ,Guangdong,Deng Xiaoping,Adolf Hitler
"Królikowo, Warmian-Masurian Voivodeship ",Poland,Adolf Hitler
I'm Falling ,Single (music),Hip hop music,Adolf Hitler
Teliapsocus ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Nagtglas's African dormouse ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Longwave (band) ,Longwave,Germany,Adolf Hitler
Zor Baarin ,Syria,Mandatory Syrian Republic,Adolf Hitler
Urutaí ,List of sovereign states,Commonwealth realm,Adolf Hitler
Ultrasauripus ,Dinosaur,Europe,Adolf Hitler
38 Parrots ,Soyuzmultfilm,Russia,Adolf Hitler
Joe Marler ,Eastbourne,Battle of France,Adolf Hitler
East Asia–United States relations ,East Asia,Empire of Japan,Adolf Hitler
2013 Asian Development Tour ,Official World Golf Ranking,Germany,Adolf Hitler
Xanthidae ,Taxonomy (biology),Objections to evolution,Adolf Hitler
National symbols of Turkmenistan ,Constitution of Turkmenistan,Self-determination,Adolf Hitler
List of Bullfrog Productions games ,Video game developer,Entertainment,Adolf Hitler
Verendrye National Monument ,North Dakota,Republican Party (United States),Adolf Hitler
Terry Duggan ,Hoxton,Satire,Adolf Hitler
Milton Faver ,"Presidio County, Texas",Barack Obama,Adolf Hitler
Congenital rubella syndrome ,Specialty (medicine),American Medical Association,Adolf Hitler
Balloch Castle ,Taymouth Castle,South Tyrol,Adolf Hitler
George Gater ,Brigadier (United Kingdom),British Armed Forces,Adolf Hitler
Hay baronets ,Nova Scotia,UNESCO,Adolf Hitler
Kimsa Qaqa ,Summit,Mount Elbrus,Adolf Hitler
Acacia beckleri ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Frank Farrar (cricketer) ,Cricket,World War I,Adolf Hitler
2001 Campeonato Carioca ,Botafogo de Futebol e Regatas,Donald Duck,Adolf Hitler
Pietro Balbi ,Pisa,Kingdom of Italy,Adolf Hitler
Saint Joseph's College (Indiana) ,Missionaries of the Precious Blood,Bavaria,Adolf Hitler
1969 CFL season ,Saskatchewan Roughriders,World War I,Adolf Hitler
Robin Chase ,Wellesley College,Madeleine Albright,Adolf Hitler
Minister for Health (Ireland) ,Government of Ireland,Head of government,Adolf Hitler
Yoji Shinkawa ,Hiroshima,Empire of Japan,Adolf Hitler
Robbie Middleton ,Texas,Republican Party (United States),Adolf Hitler
Cotalpa subcribrata ,Taxonomy (biology),Objections to evolution,Adolf Hitler
OTO Melara ,La Spezia,Germany,Adolf Hitler
Elly Hakami ,Tennis,Europe,Adolf Hitler
Mohammad Mofatteh ,Shahid,Ruhollah Khomeini,Adolf Hitler
Bogusław Wolniewicz ,Warsaw,Adolf Hitler
Chapada dos Guimarães ,List of sovereign states,Commonwealth realm,Adolf Hitler
Idflieg ,German Empire,Adolf Hitler
Luanda Agreement ,Uganda,Head of state,Adolf Hitler
Uafato ,Samoa,German Empire,Adolf Hitler
Nagasaki Kaidō ,National Diet Library,World War II,Adolf Hitler
Sunburn (TV series) ,Mike Bullen,Rik Mayall,Adolf Hitler
CAV High School ,Hisar (city),Aryan,Adolf Hitler
Kevin Lin ,Chinese name,Mao Zedong,Adolf Hitler
Lukáš Špelda ,Czech Extraliga,Czech Republic,Adolf Hitler
Lucius Varius Rufus ,Latin,Liceo classico,Adolf Hitler
Cornelis Jol ,Scheveningen,Germany,Adolf Hitler
Mohd Rizal Tisin ,Selangor,Empire of Japan,Adolf Hitler
Yanuka ,Bulgarian language,Greece,Adolf Hitler
Malage de Lugendo ,Democratic Republic of the Congo,Dictatorship,Adolf Hitler
NOT POSSIBLE,C28H38O7 
Hawke's Bay Herald-Tribune ,New Zealand,Head of state,Adolf Hitler
Soul Call ,Album,Hip hop music,Adolf Hitler
Ein Sommer in Paris ,Pasquale Aleardi,Bertolt Brecht,Adolf Hitler
1991–92 FIS Ski Jumping Europa (Continental) Cup ,Austria,Adolf Hitler
OpenOCD ,Operating system,Eric Trist,Adolf Hitler
Frank Fields ,Double bass,Richard Wagner,Adolf Hitler
Tirpitz Plan ,Royal Navy,British Armed Forces,Adolf Hitler
Ceralocyna aliciae ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Jessica Malagón Moreno ,Spanish naming customs,Citizenship,Adolf Hitler
Blossom Rock ,Jeanette MacDonald,Ramsay MacDonald,Adolf Hitler
Arsen Mustapayev ,Goalkeeper (association football),Austria national football team,Adolf Hitler
2013 WAFL Grand Final ,East Perth Football Club,World War I,Adolf Hitler
Robert McConnell (educator) ,Canada,Federalism,Adolf Hitler
Bhanwar Tonk ,South Eastern and Chatham Railway,World War I,Adolf Hitler
Twist of Fate (film) ,Maxwell Setton,The Man Who Never Was,Adolf Hitler
Involuntary Medication Objectors (Vaccination/Fluoride) Party ,New South Wales,Great Depression,Adolf Hitler
Traudl Weber ,Germany,Adolf Hitler
Rough Tor ,Cornwall,Richard Wagner,Adolf Hitler
Their name liveth for evermore ,Stone of Remembrance,World War I,Adolf Hitler
United to Advance ,List of political ideologies,Adolf Hitler
Zevegiin Oidov ,Mongolian name,Joseph Stalin,Adolf Hitler
Gabiadji ,Ivory Coast,Alsace-Lorraine,Adolf Hitler
"Philomath, Oregon ",City,Citizenship,Adolf Hitler
Alan Gogayev ,Russia,Adolf Hitler
Joseph Biles Anthony ,Joseph Anthony,World War II,Adolf Hitler
Mole map (chemistry) ,Chemistry,Astrology,Adolf Hitler
Romualdo Dantas ,Brazil,Federalism,Adolf Hitler
Eurytela alinda ,Adalbert Seitz,Mainz,Adolf Hitler
Lonely City ,Album,Hip hop music,Adolf Hitler
John Kearney (soldier) ,Fenian dynamite campaign,Tower of London,Adolf Hitler
List of fellows of the Royal Society elected in 1792 ,"George Macartney, 1st Earl Macartney",Russia,Adolf Hitler
721 series ,Hitachi,Korean War,Adolf Hitler
WYBK ,City of license,CBS,Adolf Hitler
"Ishgah, Rudboneh ",Iran,Authoritarianism,Adolf Hitler
Church of the Deposition of the Robe ,Russian language,Russia,Adolf Hitler
Monterey Peninsula Country Club ,"Pebble Beach, California",Peter Ueberroth,Adolf Hitler
La Gallega ,List of sovereign states,Commonwealth realm,Adolf Hitler
Confédération africaine des travailleurs croyants (French West Africa and Togo) ,Trade union,Otto von Bismarck,Adolf Hitler
Skrbek ,Oto Skrbek,Czechoslovakia,Adolf Hitler
Punjabi kabaddi ,Kabaddi,1936 Summer Olympics,Adolf Hitler
Peyvand-e Kohneh ,Iran,Authoritarianism,Adolf Hitler
Zjef Vanuytsel ,Folk music,World War II,Adolf Hitler
Uncharted 3: Drake's Deception ,Video game developer,Entertainment,Adolf Hitler
2001: Do Hazaar Ek ,Rajat Bedi,Entrepreneurship,Adolf Hitler
"Pensaukee (community), Wisconsin ",Unincorporated area,Bavaria,Adolf Hitler
Bäch railway station ,Freienbach,UNESCO,Adolf Hitler
South Wales Socialist Society ,Wales,Europe,Adolf Hitler
Cambridge University Amateur Boxing Club ,Boxing,Sport,Adolf Hitler
Anglian College London ,London,Summer Olympic Games,Adolf Hitler
Puerto Rico Highway 16 ,Fernando Luis Ribas Dominicci Airport,World War II,Adolf Hitler
Edward J. Ruppelt ,Iowa,Republican Party (United States),Adolf Hitler
PicSat ,Planetary science,Melancholia (2011 film),Adolf Hitler
"Edgeville, North Carolina ","Guilford County, North Carolina",American Nazi Party,Adolf Hitler
Gairdoch F.C. ,Scotland,Europe,Adolf Hitler
Harold William Swithinbank ,Society of Antiquaries of London,World War II,Adolf Hitler
"Litchfield, New York ",List of sovereign states,Commonwealth realm,Adolf Hitler
Asaccus elisae ,Taxonomy (biology),Objections to evolution,Adolf Hitler
Synersaga bleszynskii ,Taxonomy (biology),Objections to evolution,Adolf Hitler
"Goose Creek, Kentucky ",List of sovereign states,Commonwealth realm,Adolf Hitler
San Lucas Tolimán ,Guatemala,Adolf Hitler
